InsertionSorter,40,Fast,1156,Fast,384,4292194
InsertionSorter,40,Fast,1156,Normal,384,5947833609
InsertionSorter,40,Fast,1156,Slow,384,11710062443
InsertionSorter,40,Normal,1156,Fast,384,17856608977
InsertionSorter,40,Normal,1156,Normal,384,23803832124
InsertionSorter,40,Normal,1156,Slow,384,30235056908
SelectionSorter,40,Fast,1716,Fast,780,1163670
InsertionSorter,40,Slow,1156,Fast,384,36075549917
SelectionSorter,40,Fast,1716,Normal,780,12154323173
InsertionSorter,40,Slow,1156,Normal,384,41950009974
InsertionSorter,40,Slow,1156,Slow,384,47784108086
SelectionSorter,40,Fast,1716,Slow,780,23810210245
SelectionSorter,40,Normal,1716,Fast,780,26673188590
SelectionSorter,40,Normal,1716,Normal,780,39839836598
SelectionSorter,40,Normal,1716,Slow,780,53290441535
MergeSorter,40,Fast,766,Fast,167,357379
SelectionSorter,40,Slow,1716,Fast,780,55080210795
MergeSorter,40,Fast,766,Normal,167,2609688544
MergeSorter,40,Fast,766,Slow,167,5088707298
MergeSorter,40,Normal,766,Fast,167,11867939714
SelectionSorter,40,Slow,1716,Normal,780,67131893631
MergeSorter,40,Normal,766,Normal,167,14384784116
MergeSorter,40,Normal,766,Slow,167,17371275555
MergeSorter,40,Slow,766,Fast,167,25030526000
QuickSorter,40,Fast,673,Fast,305,236307
QuickSorter,40,Fast,673,Normal,305,4757546805
MergeSorter,40,Slow,766,Normal,167,27859772510
SelectionSorter,40,Slow,1716,Slow,780,79700723546
QuickSorter,40,Fast,673,Slow,305,9532592051
QuickSorter,40,Normal,673,Fast,305,10423270550
MergeSorter,40,Slow,766,Slow,167,29823256401
QuickSorter,40,Normal,673,Normal,305,15117483600
QuickSorter,40,Normal,673,Slow,305,19972194822
QuickSorter,40,Slow,673,Fast,305,21389113142
QuickSorter,40,Slow,673,Normal,305,26880007818
QuickSorter,40,Slow,673,Slow,305,33045576760
